threshold,precision_class_1,recall_class_1,f1_class_1,precision_class_0,recall_class_0,f1_class_0,accuracy
0.3,0.34545454545454546,0.95,0.5066666666666667,0.9142857142857143,0.22857142857142856,0.3657142857142857,0.445
0.4,0.42857142857142855,0.9,0.5806451612903226,0.918918918918919,0.4857142857142857,0.6355140186915887,0.61
0.5,0.5,0.75,0.6,0.8636363636363636,0.6785714285714286,0.76,0.7
0.6,0.6,0.45,0.5142857142857142,0.7870967741935484,0.8714285714285714,0.8271186440677966,0.745
0.7,0.8,0.13333333333333333,0.22857142857142856,0.7263157894736842,0.9857142857142858,0.8363636363636363,0.73
